ID,Site Number,Site Location,Cluster Name,Site Acronym,Date,E coli(colonies per 100mL),Coliform(colonies per 100mL),Mycobacterium(colonies per 100mL),Comments,F11,F12,F13,F14,F15,F16
895,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","9/4/2017","20","2416","CONT",,,,,,,
896,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","9/4/2017","22","1456","6",,,,,,,
897,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","9/4/2017","12","1056","5",,,,,,,
898,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","9/4/2017","32","1368","5",,,,,,,
899,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","10/2/2017","25","1384","0","Counted Mycobacterium samples after 2 week incubation ",,,,,,
900,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","10/2/2017","30","1016","17",,,,,,,
901,"R11","CAP Canal at Cross-connect","cap","cap @ x con","10/2/2017","13","912","0",,,,,,,
902,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","10/2/2017","27","1168","6",,,,,,,
903,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","10/2/2017","21","2536","3",,,,,,,
904,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","10/2/2017","14","1552","0",,,,,,,
905,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","10/2/2017","4","912","0",,,,,,,
906,"R3","Waddell Canal","cap","waddell canal","10/2/2017","7","1528","0",,,,,,,
907,"R25","verde river at beeline highway","verde","verde @ beeline","10/2/2017","30","1088","18",,,,,,,
908,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","10/2/2017","33","888","2",,,,,,,
909,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","10/2/2017","36","1224","1",,,,,,,
910,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","10/2/2017","49","1656","1",,,,,,,
911,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","10/2/2017","27","1432","1",,,,,,,
912,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","11/6/2017","142","1272","136","Counted Mycobacterium samples after 2 week incubation ",,,,,,
913,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","11/6/2017","195","896","41",,,,,,,
914,"R11","CAP Canal at Cross-connect","cap","cap @ x con","11/6/2017","5","1120","46",,,,,,,
915,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","11/6/2017","34","1104","0",,,,,,,
916,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","11/6/2017","43","1200","107",,,,,,,
917,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","11/6/2017","95","976","130",,,,,,,
918,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","11/6/2017","20","1736","2",,,,,,,
919,"R3","Waddell Canal","cap","waddell canal","11/6/2017","5","1480","87",,,,,,,
920,"R25","verde river at beeline highway","verde","verde @ beeline","11/6/2017","88","1088","0",,,,,,,
921,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","11/6/2017","108","904","CONT",,,,,,,
922,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","11/6/2017","129","1184","71",,,,,,,
923,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","11/6/2017","40","1072","97",,,,,,,
924,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","11/6/2017","158","1040","0",,,,,,,
925,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","12/4/2017","56","1400","61","Counted Mycobacterium samples after 2 week incubation ",,,,,,
926,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","12/4/2017",,,,,,,,,,
927,"R11","CAP Canal at Cross-connect","cap","cap @ x con","12/4/2017","105","824","0",,,,,,,
928,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","12/4/2017","28","496","33",,,,,,,
929,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","12/4/2017","39","568","9",,,,,,,
930,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","12/4/2017","13","824","21",,,,,,,
931,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","12/4/2017","73","760","23",,,,,,,
932,"R3","Waddell Canal","cap","waddell canal","12/4/2017","6","1200","13",,,,,,,
933,"R25","verde river at beeline highway","verde","verde @ beeline","12/4/2017","57","824","259",,,,,,,
934,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","12/4/2017","90","480","14",,,,,,,
935,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","12/4/2017","36","160","50",,,,,,,
936,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","12/4/2017","9","608","8",,,,,,,
937,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","12/4/2017","38","240","9",,,,,,,
938,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","1/8/2018",,,"N/A","Counted Mycobacterium samples after 2 week incubation ",,,,,,
939,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","1/8/2018","30","488","92",,,,,,,
940,"R11","CAP Canal at Cross-connect","cap","cap @ x con","1/8/2018",,,"N/A",,,,,,,
941,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","1/8/2018",,,"N/A",,,,,,,
942,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","1/8/2018",,,"N/A",,,,,,,
943,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","1/8/2018",,,"N/A",,,,,,,
944,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","1/8/2018",,,"N/A",,,,,,,
945,"R3","Waddell Canal","cap","waddell canal","1/8/2018","1","272","1",,,,,,,
946,"R25","verde river at beeline highway","verde","verde @ beeline","1/8/2018","13","456","82",,,,,,,
947,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","1/8/2018",,,"N/A",,,,,,,
948,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","1/8/2018","29","568","89",,,,,,,
949,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","1/8/2018","31","456","36",,,,,,,
950,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","1/8/2018","34","464","71",,,,,,,
951,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","2/5/2018",,,"N/A","Counted Mycobacterium samples after 2 week incubation ",,,,,,
952,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","2/5/2018","59","456","14",,,,,,,
953,"R11","CAP Canal at Cross-connect","cap","cap @ x con","2/5/2018",,,"N/A",,,,,,,
954,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","2/5/2018","509","296","N/A",,,,,,,
955,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","2/5/2018","103","464","0",,,,,,,
956,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","2/5/2018",,,"13",,,,,,,
957,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","2/5/2018","140","488","N/A",,,,,,,
958,"R3","Waddell Canal","cap","waddell canal","2/5/2018","0","640","1",,,,,,,
959,"R25","verde river at beeline highway","verde","verde @ beeline","2/5/2018","46","41","5",,,,,,,
960,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","2/5/2018","95","408","6",,,,,,,
961,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","2/5/2018","45","384","7",,,,,,,
962,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","2/5/2018","43","920","2",,,,,,,
963,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","2/5/2018","41","416","N/A",,,,,,,
382,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","6/2/2014","16","534",,"CONT= Not Countable Due to Contamination",,,,,,
988,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","3/5/2018","20","576","18","Counted Mycobacterium samples after 2 week incubation ",,,,,,
989,"SOCA","South Canal below CAP Cross-conect","srp","South canal below CAP","3/5/2018","20","624","45",,,,,,,
990,"R11","CAP Canal at Cross-connect","cap","cap @ x con","3/5/2018","1","944",,,,,,,,
991,"R22","AZ Canal - 56th St. (Alma School Road)","srp","az canal @ 56th st.","3/5/2018","3","560","19",,,,,,,
992,"R21","AZ Canal at Central Av.","srp","az canal @ central ave.","3/5/2018","6","728","21",,,,,,,
993,"Pima","AZ Canal at Pima Rd.","srp","az canal @ pima","3/5/2018","4","520","2",,,,,,,
994,"R12","AZ Canal above CAP Cross-connect","srp","az canal inflow","3/5/2018","4","840","1",,,,,,,
995,"R3","Waddell Canal","cap","waddell canal","3/5/2018","0","664","0",,,,,,,
996,"R25","verde river at beeline highway","verde","verde @ beeline","3/5/2018","35","696","23",,,,,,,
997,"R13","AZ Canal below CAP Cross-connect","srp","az canal blw cap","3/5/2018","14","840",,,,,,,,
998,"HOC","Head of the Consolidated Canal","srp","Head of the Consolidated Canal","3/5/2018","23","728","17",,,,,,,
999,"MOC","Middle of the Consolidated Canal","srp","Middle of the Consolidated Canal","3/5/2018","11","808","31",,,,,,,
1000,"HTC","Head of the Tempe Canal","tempe","head of tempe canal","3/5/2018","15","584","0",,,,,,,
1001,"Hwy 87","AZ Canal at Highway 87","srp","az canal @ hwy 87","4/2/2018","31","1032","3","Counted Mycobacterium samples after 2 week incubation ",,,,,,
