attributeName,code,definition
site number,16th St.,AZ Canal at 16th Street
site number,19th Av.,AZ Canal at 19th Avenue
site number,An in,Anthem WTP Inlet
site number,AN IN,Anthem WTP Inlet
site number,An out,Anthem WTP Treated
site number,AN OUT,Anthem WTP Treated
site number,Anthem in,Anthem WTP Inlet
site number,Anthem out,Anthem WTP Treated
site number,Ch in,Chandler WTP Inlet
site number,CH IN,Chandler WTP Inlet
site number,Ch out,Chandler WTP Treated
site number,CH OUT,Chandler WTP Treated
site number,Chandler in,Chandler WTP Inlet
site number,Chandler out,Chandler WTP Treated
site number,DV-WR,Deer Valley WTP wash return
site number,field_blank,Field blank
site number,Gila Salt,Salt-Gila Pump Station
site number,GL IN,Glendale WTP Inlet
site number,GL OUT,Glendale WTP Treated
site number,Glen In,Glendale WTP Inlet
site number,Glen Out,Glendale WTP Treated
site number,Glendale In,Glendale WTP Inlet
site number,Glendale Out,Glendale WTP Treated
site number,GR IN,Greenway WTP Inlet
site number,GR OUT,Greenway WTP Treated
site number,Green In,Greenway WTP Inlet
site number,Green Out,Greenway WTP Treated
site number,HAV,Lake Havasu
site number,Havasu 1,Lake Havasu Site 1
site number,Havasu 2,Lake Havasu Site 2
site number,HOC,Head of the Consolidated canal
site number,HTC,Head of the Tempe Canal
site number,Hwy 87,AZ Canal at Highway 87
site number,HWY 87,AZ Canal at Highway 87
site number,lab_blank,Laboratory blank
site number,Mesa,AZ Canal at Mesa Dr.
site number,Mesa Turnout,Mesa Canal Turnout
site number,MOC,Middle of the Consolidated canal
site number,MTO,Mesa Canal Turnout
site number,NP In,Tempe North WTP Inlet
site number,NP IN,Tempe North WTP Inlet
site number,NP Out,Tempe North WTP Treated
site number,NP OUT,Tempe North WTP Treated
site number,Pima,AZ Canal at Pima Rd
site number,PIMA,AZ Canal at Pima Rd
site number,R1,CAP canal above Waddell Canal
site number,R10,Salt River below Saguaro (Blue Point Bridge)
site number,R10rain,Salt River below Saguaro (Blue Point Bridge) rain sample
